H|Test1234|2014-08-01 11:04:34|1631|895|2014-08-01 11:04:36
D|UPN000020|20.00|0|20|12/03/2011|0|0001002033200|1234567890123456
D|UPN000020|20.00|0|20|12/03/2011|0|0001002033201|1234567890123456
D|UPN000020|20.00|0|20|12/03/2011|0|0001002033202|1234567890123456
D|UPN000020|20.00|0|20|12/03/2011|0|0001002033203|1234567890123456
D|UPN000020|20.00|0|20|12/03/2011|0|0001002033204|1234567890123456
D|UPN000020|20.00|0|20|12/03/2011|0|0001002033205|1234567890123456
D|UPN000020|20.00|0|20|12/03/2011|0|0001002033206|1234567890123456
D|UPN000020|20.00|0|20|12/03/2011|0|0001002033207|1234567890123456
D|UPN000020|20.00|0|20|12/03/2011|0|0001002033208|1234567890123456
D|UPN000020|20.00|0|20|12/03/2011|0|0001002033209|1234567890123456
F|12|R 200.00|560|UPN000020:10
